Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
16771634  2941   104211416  260204        <Total>
14851433  2186    89462322  235175        <static>@0x2a145 (<libc.so.6>)
14851433  2186    89462322  235175        __libc_start_main
14851433  2186    89462322  235175        main
14851433  2186    89462322  235175        pymain_main.llvm.3436827765579091707
14425728  1547    22907324    2657        realloc
14212932  1928    86944675  232610        Py_RunMain
14178902  1921    86712835  232598        _PyRun_AnyFileObject
14178902  1921    86712835  232598        _PyRun_SimpleFileObject
14178902  1921    86713307  232599        pymain_run_file
14178902  1921    86713307  232599        pymain_run_file_obj
14176614  1916    86698643  232583        pyrun_file
13971915  1890    85835216  232498        run_mod.llvm.10042080417157410676
13606463  1845    85002183  232260        PyEval_EvalCode
 7675892    68    10671224    1183        encoder_call
 6227271    64     9222603    1179        encoder_encode_key_value
 6227271    64     9222603    1179        encoder_listencode_obj.warm
 6226167    63     8025390     126        resize_compact.llvm.15414398618286582215
 6221990    59     9214284    1173        encoder_listencode_obj
 5443593    59     7241584     105        _PyUnicodeWriter_WriteStr
 5290981   747    51211216   13049        _TAIL_CALL_CALL.llvm.641356221097560969
 5124237    65     7651145   13183        _TAIL_CALL_CALL_NON_PY_GENERAL.llvm.641356221097560969
 3114050   987    19151641    9544        _PyObject_VectorcallTstate.llvm.8098019384174469547
 3114050   987    19140969    9524        object_vacall.llvm.8098019384174469547
 3112530   986    19139449    9523        PyImport_ImportModuleLevelObject
 3112530   986    19139449    9523        PyObject_CallMethodObjArgs
 3070371   928    18527154    9146        _TAIL_CALL_IMPORT_NAME.llvm.641356221097560969
 3063999   909    18518589    9117        _PyEval_ImportName
 3054936   950    19281171   27212        _PyFunction_Vectorcall
 2929872  1030    18611951   10291        _TAIL_CALL_CALL_FUNCTION_EX.llvm.641356221097560969
 2831812   374     2936304     500        _PyBytes_Resize
 2394374   833    15703434    8763        builtin_exec
 2386706   723    11837620    4854        Py_CompileStringObject
 2386706   723    11973194    4990        builtin_compile
 2362561   882     9813753    5759        compiler_codegen.llvm.16750247332568789628
 2350177   876     9553103    5623        codegen_body.llvm.15361129890650386624
 2317993    63    37769856     124        _io__Buffered_read
 2143137   834     8441500    4981        codegen_function
 1841387    61     3673118     120        _io_FileIO_readall_impl
 1834570    60     3717999    1908        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_FAST.llvm.641356221097560969
 1731692   838     6571104    4999        _PyCompile_OptimizeAndAssemble
 1461267   442    15316638   16296        type_call
 1450054     7     1450054       7        _PyUnicodeWriter_Finish
 1420675  1087    75149717  253400        malloc
 1276195   378     8899678   10372        slot_tp_init
 1265066   412     9267012   19681        PyObject_Vectorcall
 1256017   384     8565668    2430        _TAIL_CALL_CALL_KW.llvm.641356221097560969
 1242959   483    67879211    7386        _PyObject_Malloc
 1237088   697    13507609    4608        _TAIL_CALL_CALL_BUILTIN_FAST_WITH_KEYWORDS.llvm.641356221097560969
 1039134   118     7538812     781        bitwise_or_rule
 1006238   114     7118300     743        bitwise_xor_rule
  981566   111     6838684     709        bitwise_and_rule
  956641   604     3456767    2039        r_object.llvm.200955471551188220
  956641   604     3456767    2039        read_object.llvm.200955471551188220
  944382   109     7331804     769        inversion_rule
  925231   307     6154375    4147        calloc
  923998   104     6575516     677        shift_expr_rule
  899326   101     6049180     613        factor_rule
  899326   101     6088924     617        term_rule
  821600    88     2924767     807        _PyCfg_OptimizedCfgToInstructionSequence
  818400    83     2874480     445        _PyCfg_ToInstructionSequence
  808862    90     5037628     490        await_primary_rule
  782134     4      788434     206        _PyUnicodeWriter_PrepareInternal
  781606     3      784014     101        long_to_decimal_string_internal.llvm.1956027479984216653
  776776   476     2835800    1640        marshal_loads
  726366   100     6098268     639        sum_rule
  714960   140     3554561    1629        codegen_visit_stmt
  714629   120     5100903     495        _PyPegen_parse
  714629   120     5100903     495        _PyPegen_run_parser
  713157   118     5098695     492        statements_rule
  679429   103     4829415     441        compound_stmt_rule
  670475   259     2744173    2533        Py_InitializeFromConfig
  620776    96     4878017     442        _PyPegen_run_parser_from_string
  615082    91     4712364     419        function_def_raw_rule
  532170    85     4468460     398        block_rule
  527152   299     5754696    4109        _PyObject_Calloc
  520960   383     2766080    3335        _PyCfg_FromInstructionSequence
  508192    91     3127616     301        _PyPegen_name_token
  501192    54     2645015    1072        codegen_visit_expr.llvm.15361129890650386624
  481760    29     1107328      73        assignment_expression_rule
  450592    41     1675168      97        _PyPegen_expect_token.warm
  418604    25      752711    1260        pycore_interp_init
  393984     3      394416      21        PyDict_New
  393984     3      393984       3        _PyObject_Malloc.warm
  393984     3      492560    1047        _PyUnicode_InitGlobalObjects
  384234    61     3645740     351        simple_stmts_rule
  372325   221     3092527    1126        builtin___import__
  358786   345      613630     563        _PyAssemble_MakeCodeObject
  357962    56     3395788     317        simple_stmt_rule
  345069   192     2243689    3401        _TAIL_CALL_CALL_BUILTIN_FAST.llvm.641356221097560969
