Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
17097737  2423   100547111  284705        <Total>
16233268  2321    92401402  256009        <static>@0x2a145 (<libc.so.6>)
16233268  2321    92401402  256009        __libc_start_main
16233268  2321    92401402  256009        main
16233268  2321    92401402  256009        pymain_main.llvm.3436827765579091707
15629724  2084    89883531  253444        Py_RunMain
15595694  2077    89651691  253432        _PyRun_AnyFileObject
15595694  2077    89651691  253432        _PyRun_SimpleFileObject
15595694  2077    89652163  253433        pymain_run_file
15595694  2077    89652163  253433        pymain_run_file_obj
15593366  2072    89637499  253417        pyrun_file
15388667  2046    88774072  253332        run_mod.llvm.10042080417157410676
15267168  1501    22252223    2396        realloc
14988190  1986    87941039  253094        PyEval_EvalCode
 8121088    68    10667885    1181        encoder_call
 6672857    64     9219654    1177        encoder_encode_key_value
 6672857    64     9219654    1177        encoder_listencode_obj.warm
 6671753    63     8021289      76        resize_compact.llvm.15414398618286582215
 6668964    60     9213149    1172        encoder_listencode_obj
 6184983   338    10158960   21321        _TAIL_CALL_CALL_NON_PY_GENERAL.llvm.641356221097560969
 5887498    58     7236186      70        _PyUnicodeWriter_WriteStr
 5568797   704    51299926   13864        _TAIL_CALL_CALL.llvm.641356221097560969
 3016745   896    19130884    9494        PyImport_ImportModuleLevelObject
 3016745   896    19130884    9494        PyObject_CallMethodObjArgs
 3016745   896    19141460    9510        _PyObject_VectorcallTstate.llvm.8098019384174469547
 3016745   896    19130884    9494        object_vacall.llvm.8098019384174469547
 2974586   838    18521009    9215        _PyEval_ImportName
 2974586   838    18521009    9215        _TAIL_CALL_IMPORT_NAME.llvm.641356221097560969
 2969706   869    19416430   33693        _PyFunction_Vectorcall
 2695670   306     2782492     408        _PyBytes_Resize
 2287404   733    15666861    8709        builtin_exec
 2242502    61    37618872     120        _io__Buffered_read
 2121034   715    14704321    8582        _TAIL_CALL_CALL_FUNCTION_EX.llvm.641356221097560969
 1938552   707     7659434    4301        compiler_codegen.llvm.16750247332568789628
 1926168   701     7404208    4167        codegen_body.llvm.15361129890650386624
 1792168   668     6468401    3597        codegen_function
 1765896    59     3522134     116        _io_FileIO_readall_impl
 1759079    58     3511751     130        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_FAST.llvm.641356221097560969
 1668669   502     7966563    3199        Py_CompileStringObject
 1668669   502     8102137    3335        builtin_compile
 1462108   443     9796899   26442        PyObject_Vectorcall
 1449664     7     1449664       7        _PyUnicodeWriter_Finish
 1447762   510     4665232   36004        tracemalloc_realloc
 1396657   659     5081596    3715        _PyCompile_OptimizeAndAssemble
 1346681   382    15120720   19034        type_call
 1272099   368     8874974   13904        slot_tp_init
 1243567   370     8578750    2683        _TAIL_CALL_CALL_KW.llvm.641356221097560969
 1158384   306     2004708     882        data_stack_grow
 1158384   306     1833408     432        sre_ucs1_match.warm
 1059176   655    13184692    4734        _TAIL_CALL_CALL_BUILTIN_FAST_WITH_KEYWORDS.llvm.641356221097560969
 1049305   685    73520060  279298        malloc
 1009990   330     2536062    4473        sre_search
  918749   574     3456767    2039        r_object.llvm.200955471551188220
  918749   574     3456767    2039        read_object.llvm.200955471551188220
  865223    96     4938588     587        bitwise_or_rule
  832327    92     4592092     558        bitwise_xor_rule
  815485   353    64243925    7526        _PyObject_Malloc
  807655    89     4386492     533        bitwise_and_rule
  795143    90     4739804     576        inversion_rule
  783815     5      785191       7        _PyUnicodeWriter_PrepareInternal
  783287     4      785695     102        long_to_decimal_string_internal.llvm.1956027479984216653
  782983    86     4205564     511        shift_expr_rule
  781264   237     4774828    3011        calloc
  774759    85     3786140     460        factor_rule
  774759    85     3825884     464        term_rule
  747620   453     2835800    1640        marshal_loads
  700743    76     2996636     364        await_primary_rule
  644960    65     2295155     619        _PyCfg_OptimizedCfgToInstructionSequence
  642400    61     2253440     343        _PyCfg_ToInstructionSequence
  635518   238     2744349    2533        Py_InitializeFromConfig
  601799    84     3794108     481        sum_rule
  539547    97     3685659     372        _PyPegen_parse
  539547    97     3685659     372        _PyPegen_run_parser
  538075    95     3683451     369        statements_rule
  505371    81     3487867     328        compound_stmt_rule
  491754    67     2297358     896        codegen_visit_stmt
  476448    83     2228800     244        _PyPegen_name_token
  476096    27      866048      63        assignment_expression_rule
  449280   321     2103040    2426        _PyCfg_FromInstructionSequence
  446656    74     3402720     316        function_def_raw_rule
  419688    45     2107942     812        codegen_visit_expr.llvm.15361129890650386624
  414542    72     3381996     316        _PyPegen_run_parser_from_string
  410578    18      752711    1260        pycore_interp_init
  393984     3      394416      21        PyDict_New
  393984     3      393984       3        _PyObject_Malloc.warm
  393984     3      492560    1047        _PyUnicode_InitGlobalObjects
  388048   235     4380224    2990        _PyObject_Calloc
  378144    31     1234784      75        _PyPegen_expect_token.warm
  358112    63     3159808     289        block_rule
  352961   201     3083962    1097        builtin___import__
  327732   108     1361316   16155        pattern_subx
  283296    17     1079680      86        _tmp_88_rule
